Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
375,Jaden Philogene Bidace,ENG,FW,Aston Villa,18,2002,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
376,Jordan Pickford,ENG,GK,Everton,26,1994,30.5,1,0,0,1,4,0,0,3,0,0,1,0,27,9,0,100.0
377,Erik Pieters,NED,DF|MF,Burnley,31,1988,14.1,1,0,0,26,21,1,19,12,21,1,0,1,74,13,9,59.1
378,Daniel Podence,POR,MF|FW,Wolves,24,1995,18.5,3,0,0,14,27,4,32,13,6,0,0,0,81,7,15,31.8
379,Paul Pogba,FRA,MF|FW,Manchester Utd,27,1993,21.1,3,0,0,41,38,4,22,26,26,2,2,0,148,55,33,62.5
380,Nick Pope,ENG,GK,Burnley,28,1992,32.0,1,0,0,2,5,0,0,2,1,0,2,0,40,7,4,63.6
381,Dennis Praet,BEL,MF,Leicester City,26,1994,8.0,0,0,0,12,2,0,19,7,7,0,0,0,40,2,10,16.7
382,Davy Pröpper,NED,MF,Brighton,28,1991,2.4,0,0,0,1,0,0,3,1,5,0,0,0,15,3,4,42.9
383,Christian Pulisic,USA,FW|MF,Chelsea,21,1998,19.3,2,0,0,13,33,4,35,12,11,0,0,0,60,19,42,31.1
384,Aaron Ramsdale,ENG,GK,Sheffield Utd,22,1998,38.0,1,0,0,1,5,0,0,2,1,0,1,0,25,8,3,72.7
385,Jacob Ramsey,ENG,MF,Aston Villa,19,2001,7.0,0,0,0,13,11,2,8,4,5,0,0,0,38,7,9,43.8
386,Kayne Ramsey,ENG,DF,Southampton,19,2000,1.0,1,0,0,1,0,0,0,0,2,0,0,0,6,0,1,0.0
387,Darren Randolph,IRL,GK,West Ham,33,1987,3.0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,100.0
388,Raphinha,BRA,MF|FW,Leeds United,23,1996,26.2,3,0,0,13,31,14,165,29,17,0,0,0,117,9,36,20.0
389,Marcus Rashford,ENG,FW,Manchester Utd,22,1997,32.4,4,0,0,25,42,27,36,8,9,2,0,0,111,25,19,56.8
390,Tim Ream,USA,DF,Fulham,32,1987,7.0,0,0,0,3,0,0,0,6,5,0,0,0,35,11,10,52.4
391,Nathan Redmond,ENG,MF|FW,Southampton,26,1994,19.3,1,0,0,31,15,3,29,11,17,0,1,0,93,10,26,27.8
392,Harrison Reed,ENG,MF,Fulham,25,1995,25.0,5,0,0,40,25,0,27,50,38,0,0,0,180,20,28,41.7
393,Sergio Reguilón,ESP,DF,Tottenham,23,1996,24.9,5,0,0,26,19,1,62,32,25,1,1,1,134,29,35,45.3
394,Bobby Reid,JAM,MF|FW,Fulham,27,1993,26.4,7,0,0,38,20,3,41,21,15,1,0,0,102,16,40,28.6
395,Declan Rice,ENG,MF,West Ham,21,1999,32.0,2,0,0,21,13,2,30,59,35,0,1,0,233,43,30,58.9
396,Lewis Richardson,ENG,FW|MF,Burnley,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
397,Richarlison,BRA,FW,Everton,23,1997,31.8,4,1,0,33,73,25,37,14,32,1,0,0,164,39,73,34.8
398,Jaïro Riedewald,NED,MF,Crystal Palace,23,1996,20.2,4,0,0,21,6,0,2,29,15,0,0,0,98,12,9,57.1
